metodo,eje,grupo,cobertura,se_cluster,desvio_pp,ancho_medio,pct_infinito,n,n_dias
M2 Mondrian por tercil de potencia,tecnologia,Eólica,92.49,0.42,2.49,467.0,0.0,33093,638
M2 Mondrian por tercil de potencia,tecnologia,Solar,92.56,0.42,2.56,827.9,0.0,44775,638
M2 Mondrian por tercil de potencia,tamano de central,pequena,93.9,0.34,3.9,255.0,0.0,25348,638
M2 Mondrian por tercil de potencia,tamano de central,mediana,92.61,0.41,2.61,671.5,0.0,25273,638
M2 Mondrian por tercil de potencia,tamano de central,grande,91.17,0.45,1.17,1067.7,0.0,27247,638
M2 Mondrian por tercil de potencia,region,Antofagasta,94.26,0.43,4.26,1046.0,0.0,26926,638
M2 Mondrian por tercil de potencia,region,Arica y Parinacota,94.83,0.88,4.83,1152.6,0.0,638,638
M2 Mondrian por tercil de potencia,region,Atacama,90.96,0.52,0.96,844.6,0.0,15755,638
M2 Mondrian por tercil de potencia,region,Biobío,88.57,0.7,-1.43,152.3,0.0,6380,638
M2 Mondrian por tercil de potencia,region,Coquimbo,93.07,0.59,3.07,357.8,0.0,9192,638
M2 Mondrian por tercil de potencia,region,La Araucanía,90.03,0.8,0.03,321.8,0.0,5104,638
M2 Mondrian por tercil de potencia,region,Libertador General Bernardo O'Higgins,93.73,0.74,3.73,82.4,0.0,2356,638
M2 Mondrian por tercil de potencia,region,Los Lagos,93.77,0.75,3.77,199.1,0.0,2552,638
M2 Mondrian por tercil de potencia,region,Maule,93.57,0.79,3.57,309.9,0.0,1178,638
M2 Mondrian por tercil de potencia,region,Metropolitana de Santiago,94.21,0.57,4.21,324.5,0.0,2484,638
M2 Mondrian por tercil de potencia,region,Tarapacá,91.37,0.63,1.37,441.7,0.0,3852,638
M2 Mondrian por tercil de potencia,region,Valparaíso,94.36,0.68,4.36,577.8,0.0,1451,638
M2 Mondrian por tercil de potencia,evento,alto (decil sup.),91.91,0.61,1.91,948.3,0.0,30831,254
M2 Mondrian por tercil de potencia,evento,resto,92.93,0.46,2.93,495.1,0.0,47037,384
M3 conformal por central,tecnologia,Eólica,94.07,0.38,4.07,479.7,0.0,33093,638
M3 conformal por central,tecnologia,Solar,91.42,0.46,1.42,752.3,0.0,44775,638
M3 conformal por central,tamano de central,pequena,93.02,0.36,3.02,218.6,0.0,25348,638
M3 conformal por central,tamano de central,mediana,92.88,0.44,2.88,613.1,0.0,25273,638
M3 conformal por central,tamano de central,grande,91.79,0.46,1.79,1046.8,0.0,27247,638
M3 conformal por central,region,Antofagasta,91.82,0.51,1.82,832.5,0.0,26926,638
M3 conformal por central,region,Arica y Parinacota,97.18,0.66,7.18,1695.1,0.0,638,638
M3 conformal por central,region,Atacama,90.43,0.55,0.43,832.0,0.0,15755,638
M3 conformal por central,region,Biobío,93.06,0.55,3.06,235.2,0.0,6380,638
M3 conformal por central,region,Coquimbo,94.28,0.52,4.28,388.3,0.0,9192,638
M3 conformal por central,region,La Araucanía,94.46,0.6,4.46,518.0,0.0,5104,638
M3 conformal por central,region,Libertador General Bernardo O'Higgins,93.61,0.75,3.61,83.9,0.0,2356,638
M3 conformal por central,region,Los Lagos,96.16,0.6,6.16,281.2,0.0,2552,638
M3 conformal por central,region,Maule,93.5,0.79,3.5,308.0,0.0,1178,638
M3 conformal por central,region,Metropolitana de Santiago,96.75,0.45,6.75,458.4,0.0,2484,638
M3 conformal por central,region,Tarapacá,90.16,0.67,0.16,407.8,0.0,3852,638
M3 conformal por central,region,Valparaíso,97.1,0.45,7.1,862.4,0.0,1451,638
M3 conformal por central,evento,alto (decil sup.),92.19,0.64,2.19,895.6,0.0,30831,254
M3 conformal por central,evento,resto,92.77,0.48,2.77,466.6,0.0,47037,384
"ACI (g=0.02), referencia",tecnologia,Eólica,90.26,0.49,0.26,379.1,0.0,33093,638
"ACI (g=0.02), referencia",tecnologia,Solar,90.25,0.48,0.25,677.6,0.0,44775,638
"ACI (g=0.02), referencia",tamano de central,pequena,91.44,0.42,1.44,201.8,0.0,25348,638
"ACI (g=0.02), referencia",tamano de central,mediana,90.89,0.45,0.89,544.4,0.0,25273,638
"ACI (g=0.02), referencia",tamano de central,grande,88.54,0.53,-1.46,881.4,0.0,27247,638
